codigo,prov 
101,Chachapoyas
102,Bagua
103,Bongará
104,Condorcanqui
105,Luya
106,Rodríguez de Mendoza
107,Utcubamba
201,Huaraz
202,Aija
203,Antonio Raymondi
204,Asunción
205,Bolognesi
206,Carhuaz
207,Carlos Fermín Fitzcarrald
208,Casma
209,Corongo
210,Huari
211,Huarmey
212,Huaylas
213,Mariscal Luzuriaga
214,Ocros
215,Pallasca
216,Pomabamba
217,Recuay
218,Santa
219,Sihuas
220,Yungay
301,Abancay
302,Andahuaylas
303,Antabamba
304,Aymaraes
305,Cotabambas
306,Chincheros
307,Grau
401,Arequipa
402,Camaná
403,Caravelí
404,Castilla
405,Caylloma
406,Condesuyos
407,Islay
408,La Unión
501,Huamanga
502,Cangallo
503,Huanca Sancos
504,Huanta
505,La Mar
506,Lucanas
507,Parinacochas
508,Páucar del Sara Sara
509,Sucre
510,Víctor Fajardo
511,Vilcas Huamán
601,Cajamarca
602,Cajabamba
603,Celendín
604,Chota
605,Contumazá
606,Cutervo
607,Hualgayoc
608,Jaén
609,San Ignacio
610,San Marcos
611,San Miguel
612,San Pablo
613,Santa Cruz
701,Prov. Const. del Callao
801,Cusco
802,Acomayo
803,Anta
804,Calca
805,Canas
806,Canchis
807,Chumbivilcas
808,Espinar
809,La Convención
810,Paruro
811,Paucartambo
812,Quispicanchi
813,Urubamba
901,Huancavelica
902,Acobamba
903,Angaraes
904,Castrovirreyna
905,Churcampa
906,Huaytará
907,Tayacaja
1001,Huánuco
1002,Ambo
1003,Dos de Mayo
1004,Huacaybamba
1005,Huamalíes
1006,Leoncio Prado
1007,Marañón
1008,Pachitea
1009,Puerto Inca
1010,Lauricocha
1011,Yarowilca
1101,Ica
1102,Chincha
1103,Nazca
1104,Palpa
1105,Pisco
1201,Huancayo
1202,Concepción
1203,Chanchamayo
1204,Jauja
1205,Junín
1206,Satipo
1207,Tarma
1208,Yauli
1209,Chupaca
1301,Trujillo
1302,Ascope
1303,Bolívar
1304,Chepén
1305,Julcán
1306,Otuzco
1307,Pacasmayo
1308,Pataz
1309,Sánchez Carrión
1310,Santiago de Chuco
1311,Gran Chimú
1312,Virú
1401,Chiclayo
1402,Ferreñafe
1403,Lambayeque
1501,Lima
1502,Barranca
1503,Cajatambo
1504,Canta
1505,Cañete
1506,Huaral
1507,Huarochirí
1508,Huaura
1509,Oyón
1510,Yauyos
1601,Maynas
1602,Alto Amazonas
1603,Loreto
1604,Mariscal Ramón Castilla
1605,Requena
1606,Ucayali
1607,Datem del Marañón
1608,Putumayo
1701,Tambopata
1702,Manu
1703,Tahuamanu
1801,Mariscal Nieto
1802,General Sánchez Cerro
1803,Ilo
1901,Pasco
1902,Daniel Alcides Carrión
1903,Oxapampa
2001,Piura
2002,Ayabaca
2003,Huancabamba
2004,Morropón
2005,Paita
2006,Sullana
2007,Talara
2008,Sechura
2101,Puno
2102,Azángaro
2103,Carabaya
2104,Chucuito
2105,El Collao
2106,Huancané
2107,Lampa
2108,Melgar
2109,Moho
2110,San Antonio de Putina
2111,San Román
2112,Sandia
2113,Yunguyo
2201,Moyobamba
2202,Bellavista
2203,El Dorado
2204,Huallaga
2205,Lamas
2206,Mariscal Cáceres
2207,Picota
2208,Rioja
2209,San Martín
2210,Tocache
2301,Tacna
2302,Candarave
2303,Jorge Basadre
2304,Tarata
2401,Tumbes
2402,Contralmirante Villar
2403,Zarumilla
2501,Coronel Portillo
2502,Atalaya
2503,Padre Abad
2504,Purús
