,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,SbjNum,NSE,NSEv1,NSEv2,edad,edadx,DNI,sexo,dep,prov,dist,zona,region,ambito,edu,edu2,ocupa,ocupa2,p01,p01otro,p02,p03,p04,p05_1,p05_2,p05_3,p05_4,p06_1,p06_2,p06_3,p06_4,p06_5,p06_6,p06_7,p06_8,p06_9,p06_10,p07,p07otro,p08,p08otro,p11,p12,p12a,p13,p13a,p15_1,p15_2,p15_3,p15_4,PONDERADOR,PERCENTAGE,periodo
10,10,10,10,160521498,NSE B2,NSE B,NSE A/B,50,De 40 a más años,SI,Hombre,Lima,Lima,150101,Lima Metropolitana,1,Lima Metropolitana,Superior técnico completa,Educacion superior,Trabajador independiente sin empleados,Trabajador independiente,Economia, ,Desaprueba,Se mantendrá igual los cinco años de su gobierno,No terminará su gobierno,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,NS/NP,NS/NP,Desaprueba,Fizcalizan bien a los ministros, ,La falta de gente capacitada, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Desaprueba,Derecha,Derecha,Muy probable,Algo probable,Muy probable,Muy probable,0.6874,0.05681287538111488,NOVIEMBRE 2021
11,11,11,11,160521648,NSE E,NSE E,NSE D/E,37,De 25 a 39 años,SI,Hombre,Cajamarca,San Miguel,61107,Norte,2,Peru rural,Primaria completa,Educacion Basica,Asalariado del sector estatal,Trabajador dependiente,Economia, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,NS/NP,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,No tiene nada positivo, ,La falta de gente capacitada, ,"En marzo todos deberían regresar a clases presenciales, sin excepción",Sí,Aprueba,Izquierda,Izquierda,Nada probable,Nada probable,Poco probable,Nada probable,1.3137,0.10857590105931136,NOVIEMBRE 2021
12,12,12,12,160521650,NSE A2,NSE A,NSE A/B,35,De 25 a 39 años,SI,Hombre,Lima,Lima,150133,Lima Metropolitana,1,Lima Metropolitana,Superior universitaria completa,Educacion superior,Asalariado del sector estatal,Trabajador dependiente,Inestabilidad política, ,Aprueba,Mejorará en los próximos meses,Durará cinco años como presidente,Aprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,No tiene nada positivo, ,"No les interesa la gente, solo piensan en ellos", ,"En marzo todos deberían regresar a clases presenciales, sin excepción",No,Desaprueba,Centro,Centro,Algo probable,Algo probable,Algo probable,Algo probable,0.4045,0.03343149271408346,NOVIEMBRE 2021
13,13,13,13,160521816,NSE E,NSE E,NSE D/E,26,De 25 a 39 años,SI,Mujer,Ucayali,Padre Abad,250302,Selva,3,Peru urbano,Secundaria incompleta,Educacion Basica,Ama de casa,No trabaja,Ninguno, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,NS/NP, ,"No les interesa la gente, solo piensan en ellos", ,"En marzo todos deberían regresar a clases presenciales, sin excepción",NS/NP,Desaprueba,Derecha,Derecha,Algo probable,Poco probable,NS/NP,Algo probable,0.8417,0.06956560548193831,NOVIEMBRE 2021
14,14,14,14,160521830,NSE C1,NSE C,NSE C,45,De 40 a más años,SI,Mujer,Arequipa,Caravelí,40307,Sur,1,Peru urbano,Superior universitaria completa,Educacion superior,Trabajador independiente sin empleados,Trabajador independiente,Ninguno, ,Aprueba,Mejorará en los próximos meses,Durará cinco años como presidente,Desaprueba,Aprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,No tiene nada positivo, ,No dejan gobernar al ejecutivo, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,Sí,Desaprueba,Derecha,Derecha,Algo probable,Muy probable,Algo probable,Algo probable,0.9056,0.0748468721925191,NOVIEMBRE 2021
15,15,15,15,160522489,NSE C1,NSE C,NSE C,58,De 40 a más años,SI,Hombre,Lima,Lima,150132,Lima Metropolitana,1,Lima Metropolitana,Primaria completa,Educacion Basica,Trabajador independiente sin empleados,Trabajador independiente,Inestabilidad política, ,Aprueba,Empeorará en los próximos meses,Durará cinco años como presidente,NS/NP,Aprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Aprueba,Fizcalizan bien a los ministros, ,No dejan gobernar al ejecutivo, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,Sí,Desaprueba,Derecha,Derecha,Poco probable,Algo probable,NS/NP,Poco probable,1.3367,0.1104768264793952,NOVIEMBRE 2021
16,16,16,16,160522581,NSE C1,NSE C,NSE C,58,De 40 a más años,SI,Mujer,Lima,Lima,150110,Lima Metropolitana,1,Lima Metropolitana,Secundaria incompleta,Educacion Basica,Trabajador independiente sin empleados,Trabajador independiente,Inestabilidad política, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,NS/NP,Aprueba,Desaprueba,No tiene nada positivo, ,"No les interesa la gente, solo piensan en ellos", ,"En marzo todos deberían regresar a clases presenciales, sin excepción",No,Aprueba,Centro,Centro,Muy probable,Muy probable,Muy probable,Muy probable,1.2815,0.10591460547119395,NOVIEMBRE 2021
17,17,17,17,160522631,NSE B1,NSE B,NSE A/B,38,De 25 a 39 años,SI,Hombre,Lima,Lima,150130,Lima Metropolitana,1,Lima Metropolitana,Posgrado universitario,Educacion superior,Trabajador independiente con empleados,Trabajador independiente,Inestabilidad política, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Controlan las acciones del Presidente Castillo, ,La falta de gente capacitada, ,"En marzo todos deberían regresar a clases presenciales, sin excepción",No,Aprueba,Centro,Centro,Poco probable,Algo probable,Algo probable,Algo probable,0.6388,0.05279613731954639,NOVIEMBRE 2021
18,18,18,18,160522718,NSE C1,NSE C,NSE C,28,De 25 a 39 años,SI,Mujer,Cusco,Cusco,80101,Sur,2,Peru urbano,Superior universitaria completa,Educacion superior,Trabajador independiente sin empleados,Trabajador independiente,Corrupcion, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,No tiene nada positivo, ,Todo es negativo en el Congreso,HACEN TOTERIAS Y NO HACEN NADA EL CONGRESO,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,Sí,Desaprueba,Centro,Centro,Muy probable,Muy probable,Muy probable,Muy probable,0.8417,0.06956560548193831,NOVIEMBRE 2021
19,19,19,19,160522741,NSE A2,NSE A,NSE A/B,44,De 40 a más años,SI,Hombre,Lima,Lima,150140,Lima Metropolitana,1,Lima Metropolitana,Superior universitaria completa,Educacion superior,Trabajador independiente con empleados,Trabajador independiente,Economia, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Fizcalizan bien a los ministros, ,Todo es negativo en el Congreso,NO TIENE NADA DE POSITIVO,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Aprueba,Derecha,Derecha,Muy probable,Muy probable,Algo probable,Muy probable,0.4352,0.035968814905238865,NOVIEMBRE 2021
20,20,20,20,160523174,NSE C1,NSE C,NSE C,22,De 18 a 24 años,SI,Mujer,Lima,Lima,150121,Lima Metropolitana,1,Lima Metropolitana,Superior universitaria incompleta,Educacion superior,Estudiante,No trabaja,Corrupcion, ,Desaprueba,Se mantendrá igual los cinco años de su gobierno,No terminará su gobierno,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,No tiene nada positivo, ,Ahorran y no malgastan su presupuesto, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Desaprueba,Centro,Centro,Algo probable,Muy probable,Algo probable,Muy probable,1.191,0.09843487718782051,NOVIEMBRE 2021
21,21,21,21,160523175,NSE E,NSE E,NSE D/E,49,De 40 a más años,SI,Mujer,Apurímac,Abancay,30101,Sur,2,Peru urbano,Secundaria incompleta,Educacion Basica,Trabajador independiente sin empleados,Trabajador independiente,Corrupcion, ,Aprueba,Se mantendrá igual los cinco años de su gobierno,NS/NP,NS/NP,NS/NP,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Ahorran y no malgastan su presupuesto, ,La falta de gente capacitada, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,Sí,Desaprueba,Centro,Centro,Muy probable,Muy probable,Muy probable,Muy probable,0.9056,0.0748468721925191,NOVIEMBRE 2021
22,22,22,22,160523353,NSE E,NSE E,NSE D/E,38,De 25 a 39 años,SI,Hombre,Tumbes,Zarumilla,240303,Norte,1,Peru urbano,Secundaria incompleta,Educacion Basica,Agricultor,Trabajador independiente,Corrupcion, ,Aprueba,Mejorará en los próximos meses,Durará cinco años como presidente,Desaprueba,Aprueba,Desaprueba,Desaprueba,No conoce,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,No tiene nada positivo, ,No dejan gobernar al ejecutivo, ,"En marzo todos deberían regresar a clases presenciales, sin excepción",Sí,Desaprueba,Derecha,Derecha,Algo probable,NS/NP,Algo probable,Algo probable,0.878,0.07256576168841848,NOVIEMBRE 2021
23,23,23,23,160523927,NSE D,NSE D,NSE D/E,20,De 18 a 24 años,SI,Mujer,Cajamarca,San Marcos,61001,Norte,2,Peru urbano,Secundaria completa,Educacion Basica,Asalariado del sector privado,Trabajador dependiente,Economia, ,Aprueba,Mejorará en los próximos meses,NS/NP,Aprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Controlan las acciones del Presidente Castillo, ,No dejan gobernar al ejecutivo, ,"En marzo todos deberían regresar a clases presenciales, sin excepción",Sí,Desaprueba,Izquierda,Izquierda,Algo probable,Nada probable,Algo probable,Nada probable,0.8416,0.06955734058880751,NOVIEMBRE 2021
24,24,24,24,160524164,NSE D,NSE D,NSE D/E,44,De 40 a más años,SI,Mujer,Lambayeque,Lambayeque,140312,Norte,1,Peru urbano,Superior universitaria completa,Educacion superior,Trabajador independiente sin empleados,Trabajador independiente,Corrupcion, ,Desaprueba,Se mantendrá igual los cinco años de su gobierno,No terminará su gobierno,Desaprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,No conoce,NS/NP,NS/NP,NS/NP,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Controlan las acciones del Presidente Castillo, ,"No les interesa la gente, solo piensan en ellos", ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Desaprueba,Derecha,Derecha,Muy probable,Muy probable,Algo probable,Algo probable,0.9056,0.0748468721925191,NOVIEMBRE 2021
25,25,25,25,160524344,NSE C1,NSE C,NSE C,30,De 25 a 39 años,SI,Hombre,Lima,Lima,150132,Lima Metropolitana,1,Lima Metropolitana,Secundaria completa,Educacion Basica,Asalariado del sector privado,Trabajador dependiente,Covid19/pandemia, ,Desaprueba,Empeorará en los próximos meses,Durará cinco años como presidente,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,No tiene nada positivo, ,Ahorran y no malgastan su presupuesto, ,"En marzo todos deberían regresar a clases presenciales, sin excepción",No,Desaprueba,Izquierda,Izquierda,Muy probable,Poco probable,Algo probable,Poco probable,1.2423,0.10267476736392057,NOVIEMBRE 2021
26,26,26,26,160524723,NSE E,NSE E,NSE D/E,36,De 25 a 39 años,SI,Mujer,Piura,Paita,200505,Norte,1,Peru rural,Secundaria completa,Educacion Basica,Ama de casa,No trabaja,Covid19/pandemia, ,Aprueba,99,Durará cinco años como presidente,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,No tiene nada positivo, ,No dejan gobernar al ejecutivo, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Desaprueba,Izquierda,Izquierda,Algo probable,Nada probable,Nada probable,Algo probable,1.2595,0.1040963289824181,NOVIEMBRE 2021
27,27,27,27,160524803,NSE C2,NSE C,NSE C,49,De 40 a más años,SI,Mujer,Lambayeque,Chiclayo,140105,Norte,1,Peru urbano,Superior técnico completa,Educacion superior,Ama de casa,No trabaja,Inestabilidad política, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Aprueba,NS/NP,No conoce,No conoce,Desaprueba,NS/NP,No conoce,Desaprueba,No conoce,No conoce,No conoce,No conoce,Controlan las acciones del Presidente Castillo, ,"No les interesa la gente, solo piensan en ellos", ,"En marzo todos deberían regresar a clases presenciales, sin excepción",No,Aprueba,Centro,Centro,Muy probable,Poco probable,Nada probable,Muy probable,0.9056,0.0748468721925191,NOVIEMBRE 2021
28,28,28,28,160524868,NSE E,NSE E,NSE D/E,52,De 40 a más años,SI,Mujer,Ayacucho,Huanta,50401,Sur,2,Peru urbano,Secundaria incompleta,Educacion Basica,Trabajador independiente sin empleados,Trabajador independiente,Economia, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Fizcalizan bien a los ministros, ,"No les interesa la gente, solo piensan en ellos", ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Aprueba,Derecha,Derecha,Poco probable,Muy probable,Muy probable,Muy probable,0.9056,0.0748468721925191,NOVIEMBRE 2021
