,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,SbjNum,NSE,NSEv1,NSEv2,edad,edadx,DNI,sexo,dep,prov,dist,zona,region,ambito,edu,edu2,ocupa,ocupa2,p01,p01otro,p02,p03,p04,p05_1,p05_2,p05_3,p05_4,p06_1,p06_2,p06_3,p06_4,p06_5,p06_6,p06_7,p06_8,p06_9,p06_10,p07,p07otro,p08,p08otro,p11,p12,p12a,p13,p13a,p15_1,p15_2,p15_3,p15_4,PONDERADOR,PERCENTAGE,periodo
299,299,299,299,160593827,NSE B1,NSE B,NSE A/B,43,De 40 a más años,SI,Mujer,Lima,Lima,150132,Lima Metropolitana,1,Lima Metropolitana,Superior técnico incompleta,Educacion superior,-1,-1,Economia, ,Aprueba,Mejorará en los próximos meses,Durará cinco años como presidente,Aprueba,Aprueba,Desaprueba,Aprueba,No conoce,Desaprueba,No conoce,Desaprueba,Aprueba,Aprueba,Desaprueba,No conoce,Desaprueba,Desaprueba,Fizcalizan bien a los ministros, ,No dejan gobernar al ejecutivo, ,"En marzo todos deberían regresar a clases presenciales, sin excepción",No,Desaprueba,Derecha,Derecha,Muy probable,Muy probable,Muy probable,Muy probable,0.659,0.054465645731967854,NOVIEMBRE 2021
300,300,300,300,160593949,NSE E,NSE E,NSE D/E,72,De 40 a más años,SI,Hombre,Áncash,Huaylas,21206,Norte,2,Peru rural,Primaria incompleta,Educacion Basica,-1,-1,Covid19/pandemia, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Aprueba,Aprueba,Aprueba,Desaprueba,Aprueba,Desaprueba,No conoce,Desaprueba,Desaprueba,Desaprueba,Aprueba,No conoce,Desaprueba,Desaprueba,Fizcalizan bien a los ministros, ,"No les interesa la gente, solo piensan en ellos", ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Desaprueba,Derecha,Derecha,Muy probable,Muy probable,Muy probable,Muy probable,1.4135,0.1168242644038491,NOVIEMBRE 2021
301,301,301,301,160594191,NSE A2,NSE A,NSE A/B,53,De 40 a más años,SI,Mujer,Lima,Lima,150108,Lima Metropolitana,1,Lima Metropolitana,Superior universitaria completa,Educacion superior,-1,-1,Falta de transparencia,EL GOBIERNO,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Fizcalizan bien a los ministros, ,La falta de gente capacitada, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Aprueba,Derecha,Derecha,Algo probable,Muy probable,Muy probable,Muy probable,0.4173,0.03448939903482578,NOVIEMBRE 2021
302,302,302,302,160594370,NSE E,NSE E,NSE D/E,25,De 25 a 39 años,SI,Mujer,Loreto,Datem del Marañón,160701,Selva,3,Peru rural,Superior universitaria incompleta,Educacion superior,-1,-1,Inseguridad, ,Aprueba,Mejorará en los próximos meses,Durará cinco años como presidente,Desaprueba,Aprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Las leyes que han hecho en estos meses son buenas, ,"No les interesa la gente, solo piensan en ellos", ,El próximo año deberían mantenerse clases virtuales y no presenciales,Sí,Desaprueba,Centro,Centro,Muy probable,Muy probable,Muy probable,Muy probable,1.2595,0.1040963289824181,NOVIEMBRE 2021
303,303,303,303,160594501,NSE C2,NSE C,NSE C,23,De 18 a 24 años,SI,Hombre,Cajamarca,San Ignacio,60901,Selva,3,Peru rural,Superior técnico completa,Educacion superior,-1,-1,Economia, ,Desaprueba,Mejorará en los próximos meses,Durará cinco años como presidente,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Fizcalizan bien a los ministros, ,No dejan gobernar al ejecutivo, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,Sí,Desaprueba,Izquierda,Izquierda,Poco probable,Muy probable,Poco probable,Muy probable,1.3137,0.10857590105931136,NOVIEMBRE 2021
304,304,304,304,160594674,NSE A2,NSE A,NSE A/B,45,De 40 a más años,SI,Mujer,Lima,Lima,150101,Lima Metropolitana,1,Lima Metropolitana,Secundaria completa,Educacion Basica,-1,-1,Inseguridad, ,Desaprueba,Se mantendrá igual los cinco años de su gobierno,No terminará su gobierno,Desaprueba,Desaprueba,Desaprueba,NS/NP,Desaprueba,Desaprueba,NS/NP,Desaprueba,NS/NP,NS/NP,Desaprueba,NS/NP,NS/NP,NS/NP,Controlan las acciones del Presidente Castillo, ,La falta de gente capacitada, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Aprueba,Derecha,Derecha,Muy probable,Muy probable,Muy probable,Muy probable,0.4173,0.03448939903482578,NOVIEMBRE 2021
305,305,305,305,160594727,NSE C2,NSE C,NSE C,24,De 18 a 24 años,SI,Mujer,Pasco,Pasco,190107,Centro,2,Peru urbano,Posgrado universitario,Educacion superior,-1,-1,Falta de transparencia,LA MALA ADMINISTRACION DELOS RECURSOS QUE TIENE EL GOBIERNO,NS/NP,Mejorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Fizcalizan bien a los ministros, ,La falta de gente capacitada, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Desaprueba,Izquierda,Izquierda,Algo probable,Algo probable,Algo probable,Muy probable,0.8416,0.06955734058880751,NOVIEMBRE 2021
306,306,306,306,160594927,NSE C1,NSE C,NSE C,25,De 25 a 39 años,SI,Hombre,Lima,Lima,150123,Lima Metropolitana,1,Lima Metropolitana,Superior universitaria incompleta,Educacion superior,Estudiante,No trabaja,Falta de transparencia,LA INPROVICICION Y LA FALTA DE UNA AGENDA SOLIDA EN EL GOBIERNO,Desaprueba,Mejorará en los próximos meses,Durará cinco años como presidente,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Controlan las acciones del Presidente Castillo, ,La falta de gente capacitada, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Desaprueba,Izquierda,Izquierda,Muy probable,Muy probable,Muy probable,Muy probable,1.2423,0.10267476736392057,NOVIEMBRE 2021
307,307,307,307,160595200,NSE C2,NSE C,NSE C,26,De 25 a 39 años,SI,Hombre,Lima,Lima,150143,Lima Metropolitana,1,Lima Metropolitana,Superior universitaria completa,Educacion superior,-1,-1,Inestabilidad política,EL ORDEN DEL PAIS,NS/NP,Empeorará en los próximos meses,No terminará su gobierno,Aprueba,Aprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,NS/NP,Aprueba,Desaprueba,NS/NP,Desaprueba,Desaprueba,Fizcalizan bien a los ministros, ,"No les interesa la gente, solo piensan en ellos", ,"En marzo todos deberían regresar a clases presenciales, sin excepción",No,Desaprueba,Centro,Centro,Muy probable,Algo probable,Algo probable,Algo probable,1.2423,0.10267476736392057,NOVIEMBRE 2021
308,308,308,308,160595550,NSE E,NSE E,NSE D/E,22,De 18 a 24 años,SI,Hombre,Piura,Sullana,200607,Norte,1,Peru rural,Primaria incompleta,Educacion Basica,-1,-1,Inseguridad, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Desaprueba,NS/NP,Desaprueba,NS/NP,NS/NP,No conoce,NS/NP,NS/NP,No conoce,NS/NP,NS/NP,NS/NP,Controlan las acciones del Presidente Castillo, ,No dejan gobernar al ejecutivo, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,Sí,NS/NP,NS/NP, ,NS/NP,NS/NP,Poco probable,NS/NP,1.3137,0.10857590105931136,NOVIEMBRE 2021
309,309,309,309,160595679,NSE D,NSE D,NSE D/E,18,De 18 a 24 años,SI,Mujer,La Libertad,Pacasmayo,130704,Norte,1,Peru urbano,Secundaria completa,Educacion Basica,-1,-1,Otro,LA CONTAMINACION,Desaprueba,Se mantendrá igual los cinco años de su gobierno,No terminará su gobierno,Desaprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Fizcalizan bien a los ministros, ,No dejan gobernar al ejecutivo, ,"En marzo todos deberían regresar a clases presenciales, sin excepción",No,Aprueba,Centro,Centro,Algo probable,Algo probable,Muy probable,Poco probable,0.8416,0.06955734058880751,NOVIEMBRE 2021
310,310,310,310,160595837,NSE B2,NSE B,NSE A/B,72,De 40 a más años,SI,Mujer,Lima,Lima,150106,Lima Metropolitana,1,Lima Metropolitana,Primaria completa,Educacion Basica,-1,-1,Inseguridad, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,NS/NP,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,No conoce,Desaprueba,Desaprueba,Desaprueba,No conoce,Desaprueba,Desaprueba,Ahorran y no malgastan su presupuesto, ,La falta de gente capacitada, ,"En marzo todos deberían regresar a clases presenciales, sin excepción",Sí,Aprueba,Centro,Centro,Muy probable,Muy probable,Muy probable,Muy probable,0.659,0.054465645731967854,NOVIEMBRE 2021
311,311,311,311,160595939,NSE B2,NSE B,NSE A/B,47,De 40 a más años,SI,Hombre,Lima,Lima,150133,Lima Metropolitana,1,Lima Metropolitana,Superior universitaria incompleta,Educacion superior,-1,-1,Falta de transparencia, ,Desaprueba,Empeorará en los próximos meses,Durará cinco años como presidente,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Controlan las acciones del Presidente Castillo, ,La falta de gente capacitada, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Aprueba,Centro,Centro,Algo probable,Muy probable,Muy probable,Algo probable,0.6874,0.05681287538111488,NOVIEMBRE 2021
312,312,312,312,160596434,NSE E,NSE E,NSE D/E,23,De 18 a 24 años,SI,Hombre,Lima,Lima,150105,Lima Metropolitana,1,Lima Metropolitana,Secundaria completa,Educacion Basica,-1,-1,Inestabilidad política,EL PRESIDENTE,Desaprueba,Empeorará en los próximos meses,Durará cinco años como presidente,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,No tiene nada positivo, ,Ahorran y no malgastan su presupuesto, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Aprueba,Centro,Centro,Algo probable,Algo probable,Muy probable,Muy probable,1.0407,0.08601274281222905,NOVIEMBRE 2021
313,313,313,313,160597075,NSE A2,NSE A,NSE A/B,55,De 40 a más años,SI,Hombre,Apurímac,Abancay,30101,Sur,2,Peru urbano,Superior universitaria completa,Educacion superior,-1,-1,Empleo, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Fizcalizan bien a los ministros, ,La falta de gente capacitada, ,"En marzo todos deberían regresar a clases presenciales, sin excepción",No,Aprueba,Derecha,Derecha,Algo probable,Poco probable,Poco probable,Algo probable,0.9446,0.07807018051353086,NOVIEMBRE 2021
314,314,314,314,160597615,NSE B2,NSE B,NSE A/B,51,De 40 a más años,SI,Hombre,San Martín,Moyobamba,220101,Selva,3,Peru urbano,Superior universitaria completa,Educacion superior,-1,-1,Corrupcion, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,No conoce,Desaprueba,Aprueba,Fizcalizan bien a los ministros, ,La falta de gente capacitada, ,"En marzo todos deberían regresar a clases presenciales, sin excepción",No,Desaprueba,Centro,Centro,Algo probable,Algo probable,Algo probable,Muy probable,0.9446,0.07807018051353086,NOVIEMBRE 2021
315,315,315,315,160597883,NSE E,NSE E,NSE D/E,23,De 18 a 24 años,SI,Mujer,Ayacucho,Huamanga,50116,Sur,2,Peru urbano,Secundaria incompleta,Educacion Basica,-1,-1,Salud, ,Aprueba,Mejorará en los próximos meses,Durará cinco años como presidente,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Controlan las acciones del Presidente Castillo, ,Ahorran y no malgastan su presupuesto, ,"En marzo todos deberían regresar a clases presenciales, sin excepción",Sí,Desaprueba,Derecha,Derecha,Muy probable,Algo probable,Poco probable,Algo probable,0.8416,0.06955734058880751,NOVIEMBRE 2021
316,316,316,316,160597971,NSE A2,NSE A,NSE A/B,47,De 40 a más años,SI,Hombre,Cajamarca,Cajamarca,60101,Norte,2,Peru urbano,Superior universitaria completa,Educacion superior,-1,-1,Corrupcion, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,No tiene nada positivo, ,"No les interesa la gente, solo piensan en ellos", ,"En marzo todos deberían regresar a clases presenciales, sin excepción",Sí,Aprueba,Centro,Centro,Muy probable,Muy probable,Muy probable,Muy probable,0.9446,0.07807018051353086,NOVIEMBRE 2021
317,317,317,317,160598376,NSE C1,NSE C,NSE C,54,De 40 a más años,SI,Hombre,La Libertad,Ascope,130208,Norte,1,Peru urbano,Superior universitaria incompleta,Educacion superior,-1,-1,Desigualdad, ,Desaprueba,Se mantendrá igual los cinco años de su gobierno,No terminará su gobierno,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Controlan las acciones del Presidente Castillo, ,"No les interesa la gente, solo piensan en ellos", ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Desaprueba,Centro,Centro,Algo probable,Muy probable,Muy probable,Muy probable,0.9446,0.07807018051353086,NOVIEMBRE 2021
318,318,318,318,160598411,NSE E,NSE E,NSE D/E,31,De 25 a 39 años,SI,Mujer,Piura,Paita,200507,Norte,1,Peru rural,Primaria completa,Educacion Basica,-1,-1,Empleo, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Aprueba,Aprueba,Aprueba,Aprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Controlan las acciones del Presidente Castillo, ,Ahorran y no malgastan su presupuesto, ,El próximo año deberían mantenerse clases virtuales y no presenciales,No,Aprueba,Izquierda,Izquierda,Muy probable,Nada probable,Nada probable,Nada probable,1.2595,0.1040963289824181,NOVIEMBRE 2021
319,319,319,319,160598451,NSE D,NSE D,NSE D/E,64,De 40 a más años,SI,Mujer,Piura,Talara,200705,Norte,1,Peru urbano,Primaria incompleta,Educacion Basica,-1,-1,Economia, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Aprueba,Aprueba,Aprueba,No conoce,Desaprueba,Desaprueba,Aprueba,No conoce,No conoce,Controlan las acciones del Presidente Castillo, ,No dejan gobernar al ejecutivo, ,"En marzo todos deberían regresar a clases presenciales, sin excepción",NS/NP,Aprueba,Derecha,Derecha,Muy probable,Poco probable,Poco probable,Poco probable,0.9056,0.0748468721925191,NOVIEMBRE 2021
320,320,320,320,160598644,NSE E,NSE E,NSE D/E,60,De 40 a más años,SI,Hombre,Ucayali,Coronel Portillo,250101,Selva,3,Peru urbano,Primaria completa,Educacion Basica,-1,-1,Empleo, ,Aprueba,Mejorará en los próximos meses,NS/NP,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,No conoce,No tiene nada positivo, ,No dejan gobernar al ejecutivo, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,Sí,Desaprueba,Izquierda,Izquierda,Muy probable,Muy probable,Muy probable,Muy probable,0.9446,0.07807018051353086,NOVIEMBRE 2021
321,321,321,321,160598702,NSE E,NSE E,NSE D/E,64,De 40 a más años,SI,Hombre,Pasco,Daniel Alcides Carrión,190201,Centro,2,Peru rural,Primaria completa,Educacion Basica,-1,-1,Inestabilidad política, ,Desaprueba,99,No terminará su gobierno,NS/NP,NS/NP,NS/NP,NS/NP,NS/NP,NS/NP,NS/NP,NS/NP,NS/NP,NS/NP,NS/NP,NS/NP,NS/NP,NS/NP,NS/NP, ,"No les interesa la gente, solo piensan en ellos",LES INTERESA EL DINERO,"En marzo todos deberían regresar a clases presenciales, sin excepción",Sí,Aprueba,NS/NP, ,NS/NP,NS/NP,NS/NP,NS/NP,1.4135,0.1168242644038491,NOVIEMBRE 2021
322,322,322,322,160598871,NSE C1,NSE C,NSE C,56,De 40 a más años,SI,Hombre,Áncash,Santa,21801,Norte,1,Peru urbano,Superior técnico completa,Educacion superior,-1,-1,Economia, ,Aprueba,Mejorará en los próximos meses,Durará cinco años como presidente,NS/NP,Aprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Aprueba,Desaprueba,Aprueba,No tiene nada positivo, ,La falta de gente capacitada, ,El próximo año deberían mantenerse clases virtuales y no presenciales,Sí,Desaprueba,Izquierda,Izquierda,Poco probable,Poco probable,Poco probable,Poco probable,0.9446,0.07807018051353086,NOVIEMBRE 2021
323,323,323,323,160598918,NSE D,NSE D,NSE D/E,35,De 25 a 39 años,SI,Mujer,Áncash,Huaraz,20105,Norte,2,Peru urbano,Superior técnico completa,Educacion superior,-1,-1,Corrupcion, ,Desaprueba,Mejorará en los próximos meses,Durará cinco años como presidente,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,No conoce,Desaprueba,NS/NP, ,La falta de gente capacitada, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Desaprueba,Derecha,Derecha,Muy probable,Muy probable,Muy probable,Muy probable,0.8417,0.06956560548193831,NOVIEMBRE 2021
324,324,324,324,160599088,NSE C1,NSE C,NSE C,19,De 18 a 24 años,SI,Hombre,Lima,Lima,150137,Lima Metropolitana,1,Lima Metropolitana,Secundaria completa,Educacion Basica,-1,-1,Corrupcion, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Las leyes que han hecho en estos meses son buenas, ,La falta de gente capacitada, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,Sí,Desaprueba,Derecha,Derecha,Algo probable,Algo probable,Muy probable,Muy probable,1.2423,0.10267476736392057,NOVIEMBRE 2021
325,325,325,325,160599109,NSE E,NSE E,NSE D/E,36,De 25 a 39 años,SI,Mujer,Ica,Ica,110111,Sur,1,Peru rural,Secundaria completa,Educacion Basica,-1,-1,Economia, ,Desaprueba,99,No terminará su gobierno,Desaprueba,Desaprueba,Desaprueba,Desaprueba,NS/NP,Aprueba,Desaprueba,Desaprueba,No conoce,Desaprueba,NS/NP,Desaprueba,No conoce,Aprueba,Fizcalizan bien a los ministros, ,"No les interesa la gente, solo piensan en ellos", ,El próximo año deberían mantenerse clases virtuales y no presenciales,No,Desaprueba,Centro,Centro,Muy probable,Muy probable,Muy probable,Muy probable,1.2595,0.1040963289824181,NOVIEMBRE 2021
326,326,326,326,160599273,NSE D,NSE D,NSE D/E,79,De 40 a más años,SI,Mujer,Lima,Prov. Const. del Callao,70106,Lima Metropolitana,1,Lima Metropolitana,Primaria incompleta,Educacion Basica,-1,-1,Economia, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,No tiene nada positivo, ,Ahorran y no malgastan su presupuesto, ,El próximo año deberían mantenerse clases virtuales y no presenciales,No,Aprueba,Derecha,Derecha,Nada probable,Nada probable,Nada probable,Nada probable,1.713,0.14157761933059324,NOVIEMBRE 2021
327,327,327,327,160599553,NSE B1,NSE B,NSE A/B,55,De 40 a más años,SI,Hombre,Huánuco,Huánuco,100103,Centro,2,Peru urbano,Primaria incompleta,Educacion Basica,-1,-1,Economia, ,NS/NP,99,NS/NP,NS/NP,Desaprueba,Aprueba,Aprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Aprueba,Desaprueba,NS/NP, ,No dejan gobernar al ejecutivo, ,"En marzo todos deberían regresar a clases presenciales, sin excepción",Sí,Desaprueba,NS/NP, ,Muy probable,Algo probable,Muy probable,Muy probable,0.9446,0.07807018051353086,NOVIEMBRE 2021
328,328,328,328,160599606,NSE D,NSE D,NSE D/E,35,De 25 a 39 años,SI,Mujer,Ayacucho,Huamanga,50104,Sur,2,Peru urbano,Superior técnico completa,Educacion superior,-1,-1,Economia, ,Desaprueba,Mejorará en los próximos meses,Durará cinco años como presidente,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,No conoce,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Controlan las acciones del Presidente Castillo, ,"No les interesa la gente, solo piensan en ellos", ,"En marzo todos deberían regresar a clases presenciales, sin excepción",Sí,Desaprueba,Izquierda,Izquierda,Algo probable,Algo probable,Muy probable,Algo probable,0.8417,0.06956560548193831,NOVIEMBRE 2021
329,329,329,329,160599882,NSE C1,NSE C,NSE C,60,De 40 a más años,SI,Hombre,Lima,Prov. Const. del Callao,70101,Lima Metropolitana,1,Lima Metropolitana,Secundaria completa,Educacion Basica,-1,-1,Falta de transparencia, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Aprueba,Desaprueba,Aprueba,No conoce,No conoce,Desaprueba,Desaprueba,Desaprueba,Desaprueba,No conoce,Desaprueba,NS/NP,Controlan las acciones del Presidente Castillo, ,Ahorran y no malgastan su presupuesto, ,"En marzo todos deberían regresar a clases presenciales, sin excepción",NS/NP,Aprueba,Derecha,Derecha,Poco probable,Algo probable,Poco probable,Muy probable,1.3367,0.1104768264793952,NOVIEMBRE 2021
330,330,330,330,160600090,NSE B1,NSE B,NSE A/B,51,De 40 a más años,SI,Mujer,Lima,Lima,150130,Lima Metropolitana,1,Lima Metropolitana,Posgrado universitario,Educacion superior,-1,-1,Inestabilidad política, ,Desaprueba,Mejorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,No conoce,No conoce,Aprueba,No conoce,No conoce,Desaprueba,No conoce,NS/NP,Aprueba,Controlan las acciones del Presidente Castillo, ,La falta de gente capacitada, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Aprueba,Centro,Centro,Muy probable,Muy probable,Algo probable,Muy probable,0.659,0.054465645731967854,NOVIEMBRE 2021
331,331,331,331,160600116,NSE D,NSE D,NSE D/E,35,De 25 a 39 años,SI,Mujer,Puno,Azángaro,210201,Sur,2,Peru urbano,Superior universitaria completa,Educacion superior,-1,-1,Otro,LA CONTAMINACION AMBIENTAL,Desaprueba,Se mantendrá igual los cinco años de su gobierno,Durará cinco años como presidente,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,No tiene nada positivo, ,No dejan gobernar al ejecutivo, ,"En marzo todos deberían regresar a clases presenciales, sin excepción",Sí,Desaprueba,Derecha,Derecha,Muy probable,Muy probable,Muy probable,Algo probable,0.8417,0.06956560548193831,NOVIEMBRE 2021
332,332,332,332,160600547,NSE C1,NSE C,NSE C,20,De 18 a 24 años,SI,Hombre,Cajamarca,Cajamarca,60101,Norte,2,Peru urbano,Secundaria completa,Educacion Basica,-1,-1,Educacion, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Controlan las acciones del Presidente Castillo, ,"No les interesa la gente, solo piensan en ellos", ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,Sí,Aprueba,Derecha,Derecha,Muy probable,Muy probable,Muy probable,Muy probable,0.8779,0.07255749679528768,NOVIEMBRE 2021
333,333,333,333,160600578,NSE E,NSE E,NSE D/E,42,De 40 a más años,SI,Mujer,Pasco,Oxapampa,190308,Selva,3,Peru rural,Secundaria completa,Educacion Basica,-1,-1,Economia, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Aprueba,Aprueba,Desaprueba,NS/NP,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,No conoce,Aprueba,Desaprueba,Aprueba,NS/NP, ,La falta de gente capacitada, ,"En marzo todos deberían regresar a clases presenciales, sin excepción",Sí,Desaprueba,Centro,Centro,Muy probable,Nada probable,NS/NP,Muy probable,1.3551,0.11199756681546229,NOVIEMBRE 2021
334,334,334,334,160600616,NSE C2,NSE C,NSE C,25,De 25 a 39 años,SI,Mujer,Junín,Chanchamayo,120302,Selva,3,Peru rural,Superior universitaria completa,Educacion superior,-1,-1,Abandono del Estado,EL ESTADO  NO SE PREOCUPA PARA QUE EN LOS PUEBLOS LEJANOS LLEGUE EL INTERNET PARA LAS TAREAS VIRTUALES,NS/NP,Empeorará en los próximos meses,Durará cinco años como presidente,Aprueba,NS/NP,NS/NP,Aprueba,Desaprueba,NS/NP,Desaprueba,Desaprueba,Desaprueba,NS/NP,NS/NP,Desaprueba,Desaprueba,Desaprueba,No tiene nada positivo, ,"No les interesa la gente, solo piensan en ellos", ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,NS/NP,Desaprueba,Derecha,Derecha,Muy probable,Muy probable,Muy probable,Muy probable,1.2595,0.1040963289824181,NOVIEMBRE 2021
335,335,335,335,160600636,NSE B2,NSE B,NSE A/B,29,De 25 a 39 años,SI,Hombre,Lima,Lima,150133,Lima Metropolitana,1,Lima Metropolitana,Superior universitaria completa,Educacion superior,-1,-1,Educacion, ,Desaprueba,Se mantendrá igual los cinco años de su gobierno,Durará cinco años como presidente,Aprueba,NS/NP,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,No tiene nada positivo, ,"No les interesa la gente, solo piensan en ellos", ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Desaprueba,Centro,Centro,Muy probable,Muy probable,Algo probable,Muy probable,0.6388,0.05279613731954639,NOVIEMBRE 2021
